Activity;Case ID;Duration;Event_Nr
Accepted-In Progress;1-347461373;0.0013131239473922684;1
Accepted-In Progress;1-347461373;70070151.00038499;2
Completed-Closed;1-347461373;44.998669065747556;3
Accepted-In Progress;1-347923966;0.001067118216884385;1
Accepted-Assigned;1-347923966;1218123.9917764813;2
Accepted-Assigned;1-347923966;27567090.0;3
Accepted-In Progress;1-347923966;248158.0;4
Completed-Closed;1-347923966;6540736.0;5
Accepted-In Progress;1-347924629;0.00036790010808476455;1
Accepted-Assigned;1-347924629;59625710.99969209;2
Accepted-Wait;1-347924629;9081771.006509768;3
Completed-Closed;1-347924629;899.9978335845693;4
Accepted-In Progress;1-349857482;0.00034423054158878375;1
Completed-Closed;1-349857482;65917324.00318021;2
Accepted-In Progress;1-351187625;0.00142523715584972;1
Accepted-In Progress;1-351187625;69036553.00057209;2
Completed-Closed;1-351187625;35.99974449989845;3
Accepted-In Progress;1-351314317;0.0008770155579725719;1
Queued-Awaiting Assignment;1-351314317;645.9990925748842;2
Accepted-In Progress;1-351314317;3332.9992517533046;3
Accepted-Assigned;1-351314317;6.997483662973945;4
Accepted-In Progress;1-351314317;59226261.001469314;5
Completed-Closed;1-351314317;1176463.0004186193;6
Accepted-In Progress;1-351869391;-0.0007397220600975847;1
Accepted-In Progress;1-351869391;64643678.00067508;2
Completed-Closed;1-351869391;130.0002110718158;3
Queued-Awaiting Assignment;1-353818791;-0.0001529752055674143;1
Accepted-In Progress;1-353818791;14.000641498645445;2
Queued-Awaiting Assignment;1-353818791;22310071.001375508;3
Accepted-In Progress;1-353818791;78923.99942906952;4
Completed-Closed;1-353818791;45181837.99999237;5
Accepted-In Progress;1-354039443;-0.0005037592927792247;1
Accepted-In Progress;1-354039443;420.9997168926247;2
Accepted-Assigned;1-354039443;15698.003049353514;3
Accepted-In Progress;1-354039443;58848917.00075296;4
Completed-Closed;1-354039443;2841843.9982274757;5
Accepted-Wait;1-354350908;-0.002629417280979262;1
Accepted-In Progress;1-354350908;48604369.99974694;2
Completed-Closed;1-354350908;44.0;3
Accepted-Wait;1-354376900;-0.0016338128377801377;1
Accepted-In Progress;1-354376900;48604297.99867174;2
Completed-Closed;1-354376900;1183925.0;3
Accepted-In Progress;1-357087417;-0.00033254732715423435;1
Queued-Awaiting Assignment;1-357087417;620.9849698575069;2
Accepted-In Progress;1-357087417;17357.99935271435;3
Accepted-Assigned;1-357087417;423.0034112548486;4
Accepted-In Progress;1-357087417;57643222.99945469;5
Completed-Closed;1-357087417;2838543.9995579873;6
Accepted-In Progress;1-357610411;0.0038322281454056892;1
Accepted-Wait;1-357610411;17357998.990761846;2
Completed-Closed;1-357610411;43226490.99776053;3
Accepted-In Progress;1-358776870;-0.0010625956189111206;1
Accepted-Wait;1-358776870;95.98997419367693;2
Completed-Closed;1-358776870;65065170.99957016;3
Accepted-In Progress;1-359215498;0.0005436375390885012;1
Accepted-Assigned;1-359215498;34378849.99965562;2
Accepted-In Progress;1-359215498;0.0;3
Accepted-Wait;1-359215498;97313.0;4
Completed-Closed;1-359215498;15.0;5
Accepted-In Progress;1-359781492;0.002417283883527468;1
Completed-Closed;1-359781492;63519900.99855994;2
Accepted-In Progress;1-360464815;0.0014900188532356536;1
Accepted-Wait;1-360464815;2685148.993033791;2
Accepted-In Progress;1-360464815;36270269.99923225;3
Completed-Closed;1-360464815;22216832.998003747;4
Accepted-In Progress;1-360667704;0.0002761459827567359;1
Accepted-Wait;1-360667704;7865904.973139412;2
Completed-Closed;1-360667704;56514875.00351418;3
Accepted-In Progress;1-361368011;-0.00154402706729413;1
Accepted-In Progress;1-361368011;63253765.000320315;2
Completed-Closed;1-361368011;148.00012957060488;3
Accepted-In Progress;1-363041157;-0.004101744333725411;1
Completed-Closed;1-363041157;62668353.99609396;2
Accepted-In Progress;1-363549934;0.0005148610117608512;1
Queued-Awaiting Assignment;1-363549934;180.9861038300717;2
Accepted-In Progress;1-363549934;6561.999658494018;3
Accepted-Assigned;1-363549934;3.993743492341252;4
Accepted-In Progress;1-363549934;57098326.00029619;5
Completed-Closed;1-363549934;57.00064840662377;6
Accepted-In Progress;1-364458525;-0.0008572096942240712;1
Accepted-In Progress;1-364458525;62999897.9999824;2
Completed-Closed;1-364458525;59.0;3
Accepted-In Progress;1-364528467;-0.0018507680049411378;1
Accepted-In Progress;1-364528467;88.9999895736014;2
Queued-Awaiting Assignment;1-364528467;40.99858732402109;3
Accepted-In Progress;1-364528467;16161.999400269857;4
Accepted-Assigned;1-364528467;5.000598525565975;5
Accepted-In Progress;1-364528467;56818443.99985093;6
Completed-Closed;1-364528467;7.000038684118181;7
Accepted-In Progress;1-365702595;-0.0026618044744511635;1
Queued-Awaiting Assignment;1-365702595;89.00709018504081;2
Accepted-In Progress;1-365702595;26684.001126821273;3
Accepted-Assigned;1-365702595;5.002010734404851;4
Accepted-In Progress;1-365702595;54483982.00024151;5
Completed-Closed;1-365702595;456535.99808182265;6
Accepted-In Progress;1-366462246;-0.0008081589864083942;1
Accepted-In Progress;1-366462246;63062746.00034479;2
Completed-Closed;1-366462246;26.000261542019;3
Accepted-In Progress;1-366509892;-0.0002661404072578652;1
Queued-Awaiting Assignment;1-366509892;630.999320467817;2
Accepted-In Progress;1-366509892;61723.00037010296;3
Accepted-Assigned;1-366509892;4.999009744656934;4
Accepted-In Progress;1-366509892;56756735.000399664;5
Completed-Closed;1-366509892;30.999214527373944;6
Accepted-In Progress;1-366584206;0.0019910959873644567;1
Queued-Awaiting Assignment;1-366584206;360.00639100631633;2
Accepted-In Progress;1-366584206;18871.000254593368;3
Accepted-Assigned;1-366584206;6.0020412213275165;4
Accepted-In Progress;1-366584206;54937601.999656536;5
Completed-Closed;1-366584206;2.0004202459689435;6
Accepted-In Progress;1-366923538;0.0004544831890951319;1
Accepted-In Progress;1-366923538;53537055.0;2
Queued-Awaiting Assignment;1-366923538;593535.0;3
Accepted-In Progress;1-366923538;4339.0;4
Accepted-Assigned;1-366923538;45.0;5
Accepted-In Progress;1-366923538;0.0;6
Completed-Closed;1-366923538;2950536.0;7
Accepted-In Progress;1-367002597;-0.0009536845873338481;1
Accepted-In Progress;1-367002597;54868448.00006493;2
Accepted-In Progress;1-367002597;5307.000960034978;3
Completed-Closed;1-367002597;3174995.999932771;4
Accepted-In Progress;1-367648732;0.00017930159142950174;1
Queued-Awaiting Assignment;1-367648732;467.00583231556504;2
Accepted-In Progress;1-367648732;25087.000412342073;3
Accepted-Assigned;1-367648732;127.00140031932753;4
Accepted-In Progress;1-367648732;56458815.00141259;5
Completed-Closed;1-367648732;86.00123650111026;6
Accepted-In Progress;1-368929048;-0.001362892905652474;1
Queued-Awaiting Assignment;1-368929048;974.9929282177321;2
Accepted-In Progress;1-368929048;15096.99997146369;3
Accepted-Assigned;1-368929048;220.9961003540666;4
Accepted-In Progress;1-368929048;56032962.99795479;5
Completed-Closed;1-368929048;1795.9999708569421;6
Accepted-In Progress;1-369693874;0.00022337698918211424;1
Queued-Awaiting Assignment;1-369693874;210.9612686959232;2
Accepted-In Progress;1-369693874;12221.000359380718;3
Accepted-Assigned;1-369693874;249.0243895706272;4
Accepted-In Progress;1-369693874;52107099.9996316;5
Completed-Closed;1-369693874;1360049.99963105;6
Accepted-In Progress;1-369989135;0.0002607050409276729;1
Accepted-In Progress;1-369989135;190.0002702980294;2
Queued-Awaiting Assignment;1-369989135;409.0;3
Accepted-In Progress;1-369989135;259.0;4
Accepted-Assigned;1-369989135;95.0;5
Accepted-In Progress;1-369989135;0.0;6
Completed-Closed;1-369989135;56514875.0;7
Accepted-In Progress;1-370436092;-0.00035258687353761827;1
Queued-Awaiting Assignment;1-370436092;35.99732022618301;2
Accepted-In Progress;1-370436092;450272.99996416416;3
Accepted-In Progress;1-370436092;16345123.001123529;4
Accepted-Assigned;1-370436092;45963230.99792064;5
Accepted-In Progress;1-370436092;89169.00002834419;6
Completed-Closed;1-370436092;15.002339758306658;7
Accepted-In Progress;1-371498622;0.000710149612200434;1
Queued-Awaiting Assignment;1-371498622;453.0245398790684;2
Accepted-In Progress;1-371498622;101.00065430870615;3
Accepted-Assigned;1-371498622;168.0038941341745;4
Accepted-In Progress;1-371498622;53884976.00005897;5
Completed-Closed;1-371498622;30.000741233629164;6
Accepted-In Progress;1-371631962;-0.00046494978869470236;1
Completed-Closed;1-371631962;59205392.99984154;2
Accepted-In Progress;1-371672096;0.0020271314369568094;1
Queued-Awaiting Assignment;1-371672096;2431.00735277039;2
Accepted-In Progress;1-371672096;6291.000146011514;3
Accepted-Assigned;1-371672096;4.999011487811533;4
Accepted-In Progress;1-371672096;55270072.000669725;5
Completed-Closed;1-371672096;809.0003577535649;6
Accepted-In Progress;1-372579132;-0.0004231740213903297;1
Queued-Awaiting Assignment;1-372579132;376.0081172337047;2
Accepted-In Progress;1-372579132;23323.99959456594;3
Accepted-Assigned;1-372579132;312.0100702914694;4
Accepted-In Progress;1-372579132;54699014.99829275;5
Completed-Closed;1-372579132;122684.00021733869;6
Accepted-In Progress;1-372858362;-0.002001071677541842;1
Queued-Awaiting Assignment;1-372858362;96.0045266843727;2
Accepted-In Progress;1-372858362;21895.999558924213;3
Accepted-Assigned;1-372858362;407.0017253700782;4
Accepted-In Progress;1-372858362;54391001.99976577;5
Completed-Closed;1-372858362;282.00013565248213;6
Accepted-In Progress;1-373110819;-0.0013977538132740573;1
Queued-Awaiting Assignment;1-373110819;166.9904371918239;2
Accepted-In Progress;1-373110819;28947.00120362274;3
Accepted-Assigned;1-373110819;115.01229956403732;4
Accepted-In Progress;1-373110819;54556927.00020802;5
Completed-Closed;1-373110819;95.00027965784513;6
Accepted-In Progress;1-373268674;-6.035901705139934e-05;1
Queued-Awaiting Assignment;1-373268674;549.0146478670403;2
Accepted-In Progress;1-373268674;45445.99934226333;3
Accepted-Assigned;1-373268674;423.00031910042566;4
Accepted-In Progress;1-373268674;54453648.99998261;5
Completed-Closed;1-373268674;74.00049204973797;6
Accepted-In Progress;1-373413519;-0.004591897217781462;1
Queued-Awaiting Assignment;1-373413519;139.00313826585258;2
Accepted-In Progress;1-373413519;18791.000900772895;3
Accepted-Assigned;1-373413519;5.9980771223518845;4
Accepted-In Progress;1-373413519;54085217.00010334;5
Completed-Closed;1-373413519;47.001228116365084;6
Accepted-In Progress;1-373413971;0.0010530289654865908;1
Queued-Awaiting Assignment;1-373413971;399.9939410615893;2
Accepted-In Progress;1-373413971;11515.000236809396;3
Accepted-Assigned;1-373413971;4.005758495662617;4
Accepted-In Progress;1-373413971;54412271.000990115;5
Completed-Closed;1-373413971;89654.00178615846;6
Accepted-In Progress;1-374379174;-0.0027406310405952397;1
Queued-Awaiting Assignment;1-374379174;2319597.9831335535;2
Accepted-In Progress;1-374379174;16325.00260021783;3
Accepted-Wait;1-374379174;14.999250676597397;4
Accepted-In Progress;1-374379174;58754465.99907002;5
Completed-Closed;1-374379174;24.999671597812092;6
Accepted-In Progress;1-374630866;0.001552826893416399;1
Queued-Awaiting Assignment;1-374630866;2879.0139390740246;2
Accepted-In Progress;1-374630866;40421.0002315168;3
Accepted-Assigned;1-374630866;105.00129544046241;4
Accepted-In Progress;1-374630866;53852018.00024319;5
Completed-Closed;1-374630866;97.00126759497641;6
Accepted-In Progress;1-375337251;0.0018240190227626705;1
Queued-Awaiting Assignment;1-375337251;741.0137649488283;2
Accepted-In Progress;1-375337251;45974.99979712298;3
Accepted-Assigned;1-375337251;153.00231338006884;4
Accepted-In Progress;1-375337251;53500138.000264555;5
Completed-Closed;1-375337251;1846.999687194158;6
Accepted-In Progress;1-375430388;-0.0012715086358449869;1
Queued-Awaiting Assignment;1-375430388;173.00725652242912;2
Accepted-In Progress;1-375430388;35796.00247759006;3
Accepted-Assigned;1-375430388;161.99811728391077;4
Accepted-In Progress;1-375430388;53537054.99996042;5
Completed-Closed;1-375430388;73.9991938977922;6
Accepted-In Progress;1-375646314;0.0006844660574217035;1
Queued-Awaiting Assignment;1-375646314;252.99746858054434;2
Accepted-In Progress;1-375646314;1413.0002419243779;3
Accepted-Assigned;1-375646314;5.003250059803155;4
Accepted-In Progress;1-375646314;53549300.0005558;5
Completed-Closed;1-375646314;148.00124926630969;6
Accepted-In Progress;1-375670011;-0.0002744059900977996;1
Completed-Closed;1-375670011;51927252.00120664;2
Accepted-Assigned;1-376424233;-0.003588508879391111;1
Accepted-In Progress;1-376424233;39324775.0001042;2
Completed-Closed;1-376424233;12353310.998730423;3
Accepted-In Progress;1-377276064;-0.00012358951259930075;1
Queued-Awaiting Assignment;1-377276064;457.979231331636;2
Accepted-In Progress;1-377276064;11257.000441690318;3
Accepted-Assigned;1-377276064;4.996496160150566;4
Accepted-In Progress;1-377276064;52521756.00003252;5
Completed-Closed;1-377276064;92.99995680853432;6
Accepted-In Progress;1-377458451;0.0010420129736890351;1
Queued-Awaiting Assignment;1-377458451;138.0193501802964;2
Accepted-In Progress;1-377458451;1128.0002181496604;3
Accepted-Assigned;1-377458451;5.997651114670946;4
Accepted-In Progress;1-377458451;52854179.99938412;5
Completed-Closed;1-377458451;109.99961273487317;6
Accepted-In Progress;1-378054711;0.0015380186536587141;1
Queued-Awaiting Assignment;1-378054711;112.00269056679916;2
Accepted-In Progress;1-378054711;507.0000197926955;3
Accepted-Assigned;1-378054711;6.0040042501548045;4
Accepted-In Progress;1-378054711;52252941.99857351;5
Completed-Closed;1-378054711;70.9996700013266;6
Accepted-In Progress;1-379209685;-0.00022383535030642634;1
Accepted-In Progress;1-379209685;55460314.00016939;2
Completed-Closed;1-379209685;193.0004777830798;3
Accepted-In Progress;1-379702919;-9.356286798526313e-05;1
Queued-Awaiting Assignment;1-379702919;186.023752158299;2
Accepted-In Progress;1-379702919;11558061.000142813;3
Accepted-In Progress;1-379702919;0.0;4
Completed-Closed;1-379702919;13549005.0;5
Accepted-In Progress;1-379789104;-0.0045854671139320645;1
Queued-Awaiting Assignment;1-379789104;975.0;2
Accepted-In Progress;1-379789104;926441.0;3
Queued-Awaiting Assignment;1-379789104;64.0;4
Accepted-In Progress;1-379789104;0.0;5
Accepted-Wait;1-379789104;5378172.0;6
Accepted-In Progress;1-379789104;244680.0;7
Completed-Closed;1-379789104;22619478.0;8
Accepted-In Progress;1-380297615;0.003191521367484896;1
Accepted-Assigned;1-380297615;3011616.000412346;2
Accepted-In Progress;1-380297615;35417180.000442;3
Accepted-Wait;1-380297615;21114333.00635418;4
Completed-Closed;1-380297615;349.0006702330423;5
Accepted-In Progress;1-380392616;0.0009882581944356576;1
Queued-Awaiting Assignment;1-380392616;498.9945814573959;2
Accepted-In Progress;1-380392616;248.00066357436248;3
Accepted-Assigned;1-380392616;6.004834354186573;4
Queued-Awaiting Assignment;1-380392616;430.0;5
Accepted-Assigned;1-380392616;312.0;6
Accepted-Wait;1-380392616;349.0;7
Queued-Awaiting Assignment;1-380392616;1131.0;8
Accepted-In Progress;1-380392616;0.0;9
Accepted-Assigned;1-380392616;0.0;10
Accepted-In Progress;1-380392616;0.0;11
Completed-Closed;1-380392616;81883.0;12
Accepted-In Progress;1-380632889;-0.00010648541829841797;1
Queued-Awaiting Assignment;1-380632889;5256893.9666922735;2
Accepted-In Progress;1-380632889;104071.99991456994;3
Accepted-Wait;1-380632889;10170763.997098811;4
Accepted-Assigned;1-380632889;16941038.995052475;5
Accepted-In Progress;1-380632889;0.0;6
Completed-Closed;1-380632889;311.0;7
Accepted-In Progress;1-380654568;0.00011097906501893011;1
Queued-Awaiting Assignment;1-380654568;207.01600668421472;2
Accepted-In Progress;1-380654568;649.9989101925166;3
Accepted-Assigned;1-380654568;4.999332037446388;4
Accepted-In Progress;1-380654568;48541195.000351116;5
Completed-Closed;1-380654568;2683317.99939276;6
Accepted-In Progress;1-381124870;0.0006048798201217214;1
Accepted-Assigned;1-381124870;155.0023578335444;2
Accepted-In Progress;1-381124870;872274.001344062;3
Accepted-Wait;1-381124870;5619988.005303003;4
Completed-Closed;1-381124870;44088794.001436844;5
Accepted-In Progress;1-382209384;-0.00022999603304828438;1
Accepted-In Progress;1-382209384;37733579.998668335;2
Accepted-Assigned;1-382209384;6250999.000387158;3
Accepted-In Progress;1-382209384;9915555.999767844;4
Completed-Closed;1-382209384;80.00013767519306;5
Accepted-In Progress;1-382442048;-0.0007279658516570096;1
Queued-Awaiting Assignment;1-382442048;223.00077619026732;2
Accepted-In Progress;1-382442048;5615.999768297798;3
Accepted-Wait;1-382442048;64.99330328538593;4
Accepted-Assigned;1-382442048;97.00206488897474;5
Accepted-In Progress;1-382442048;50961997.99914502;6
Completed-Closed;1-382442048;125.00002776554842;7
Accepted-In Progress;1-383789251;0.0003675337387003716;1
Completed-Closed;1-383789251;48136230.99704816;2
Accepted-In Progress;1-385278464;0.0011524248391454987;1
Completed-Closed;1-385278464;50183334.00017581;2
Accepted-In Progress;1-385311756;5.7832400207420844e-05;1
Queued-Awaiting Assignment;1-385311756;340.00469942193945;2
Accepted-In Progress;1-385311756;4651.000142949926;3
Accepted-Assigned;1-385311756;4.994067674845709;4
Accepted-In Progress;1-385311756;49757524.00023463;5
Completed-Closed;1-385311756;112.00085666354695;6
Accepted-In Progress;1-386495623;-2.621464109610239e-05;1
Accepted-Wait;1-386495623;256.97169907686805;2
Completed-Closed;1-386495623;53069914.000434235;3
Accepted-In Progress;1-388028918;0.0018048205568465183;1
Queued-Awaiting Assignment;1-388028918;321.97677872723796;2
Accepted-In Progress;1-388028918;53387.99888079288;3
Accepted-Assigned;1-388028918;155.0009481656192;4
Queued-Awaiting Assignment;1-388028918;22428427.00754655;5
Accepted-Assigned;1-388028918;17.000455891284403;6
Accepted-Wait;1-388028918;593790.003732891;7
Queued-Awaiting Assignment;1-388028918;2500491.002849883;8
Accepted-In Progress;1-388028918;3323.0002804250717;9
Accepted-Assigned;1-388028918;6.000689217616697;10
Accepted-In Progress;1-388028918;22212701.00040099;11
Completed-Closed;1-388028918;3950.0012716777624;12
Accepted-In Progress;1-388644366;0.0004593817929972392;1
Queued-Awaiting Assignment;1-388644366;240.9753395607605;2
Accepted-In Progress;1-388644366;17545.999772194282;3
Accepted-Assigned;1-388644366;9.001088151009734;4
Accepted-In Progress;1-388644366;47437496.99982136;5
Completed-Closed;1-388644366;33.000188877310336;6
Accepted-In Progress;1-388724672;0.00044469801005889685;1
Queued-Awaiting Assignment;1-388724672;955.0076353727538;2
Accepted-In Progress;1-388724672;2904.0006883436195;3
Accepted-Assigned;1-388724672;6.9998517161355105;4
Accepted-In Progress;1-388724672;47432063.00028585;5
Completed-Closed;1-388724672;1894.0015459173417;6
Accepted-In Progress;1-390722958;0.0005720079730065572;1
Accepted-Assigned;1-390722958;45201815.00138722;2
Accepted-In Progress;1-390722958;5785791.999963534;3
Completed-Closed;1-390722958;56.99580099828879;4
Accepted-In Progress;1-390819078;-0.001819355794611225;1
Queued-Awaiting Assignment;1-390819078;476.99729531739416;2
Accepted-In Progress;1-390819078;1177.0018790832326;3
Accepted-Assigned;1-390819078;7.0021140979975485;4
Queued-Awaiting Assignment;1-390819078;21084099.991026595;5
Accepted-Assigned;1-390819078;18.99927679782592;6
Accepted-Wait;1-390819078;594380.9987635785;7
Queued-Awaiting Assignment;1-390819078;782337.0009245629;8
Accepted-In Progress;1-390819078;12455.999605061708;9
Accepted-Assigned;1-390819078;6.998230023637262;10
Accepted-In Progress;1-390819078;23989946.999920085;11
Completed-Closed;1-390819078;18.999294764925207;12
Accepted-In Progress;1-392590655;-0.005656227297962774;1
Completed-Closed;1-392590655;45276552.001835205;2
Accepted-In Progress;1-392812598;0.001624858696723689;1
Queued-Awaiting Assignment;1-392812598;205.00421136244475;2
Accepted-In Progress;1-392812598;117277.00054788582;3
Accepted-Assigned;1-392812598;9.003689040392345;4
Accepted-In Progress;1-392812598;43372580.999418624;5
Completed-Closed;1-392812598;31.000353446746132;6
Accepted-In Progress;1-393413330;-7.591734092701043e-05;1
Queued-Awaiting Assignment;1-393413330;194.00405206132191;2
Accepted-In Progress;1-393413330;1111.9991356568096;3
Accepted-Assigned;1-393413330;5.996344960797969;4
Accepted-In Progress;1-393413330;46029054.999446616;5
Completed-Closed;1-393413330;68.99940359563998;6
Accepted-In Progress;1-396569277;0.004737146116190956;1
Queued-Awaiting Assignment;1-396569277;92.99846405495751;2
Accepted-In Progress;1-396569277;464.00054684085285;3
Accepted-Assigned;1-396569277;8.98295537356502;4
Accepted-In Progress;1-396569277;45169316.00033942;5
Completed-Closed;1-396569277;5968666.0003060065;6
Accepted-In Progress;1-397446945;0.006805292722294059;1
Queued-Awaiting Assignment;1-397446945;274.0046782201884;2
Accepted-In Progress;1-397446945;4049.9984455583426;3
Accepted-Assigned;1-397446945;8.004084117675378;4
Accepted-In Progress;1-397446945;44652677.00105067;5
Completed-Closed;1-397446945;84.997441386111;6
Accepted-In Progress;1-397806545;0.0012725788079655626;1
Queued-Awaiting Assignment;1-397806545;0.0;2
Accepted-In Progress;1-397806545;4076.0;3
Accepted-Wait;1-397806545;24.0;4
Accepted-In Progress;1-397806545;0.0;5
Completed-Closed;1-397806545;4143039.0;6
Queued-Awaiting Assignment;1-399013423;-0.003522069178951115;1
Accepted-In Progress;1-399013423;43811824.00018748;2
Completed-Closed;1-399013423;55.99902237935773;3
Accepted-In Progress;1-400351079;0.0016655609962315959;1
Accepted-In Progress;1-400351079;618445.9995422817;2
Completed-Closed;1-400351079;45072263.9979404;3
Accepted-In Progress;1-400528782;-0.0018395617240048866;1
Queued-Awaiting Assignment;1-400528782;110.0;2
Accepted-In Progress;1-400528782;12109183.0;3
Accepted-In Progress;1-400528782;489433.0;4
Completed-Closed;1-400528782;35.0;5
Accepted-In Progress;1-402212071;0.005455600644203505;1
Accepted-Wait;1-402212071;8989040.997895272;2
Completed-Closed;1-402212071;33103667.000049267;3
Accepted-In Progress;1-402328919;0.0012359053765491257;1
Completed-Closed;1-402328919;53632349.99855632;2
Accepted-In Progress;1-403006315;0.00017310799286292407;1
Queued-Awaiting Assignment;1-403006315;554.0109218218865;2
Accepted-In Progress;1-403006315;1118.0000048551533;3
Accepted-Assigned;1-403006315;5.998244769432791;4
Queued-Awaiting Assignment;1-403006315;186.0;5
Accepted-Assigned;1-403006315;40.0;6
Accepted-Wait;1-403006315;2399969.0;7
Queued-Awaiting Assignment;1-403006315;511.0;8
Accepted-In Progress;1-403006315;89169.0;9
Accepted-Assigned;1-403006315;29.0;10
Accepted-In Progress;1-403006315;0.0;11
Completed-Closed;1-403006315;6406967.0;12
Accepted-In Progress;1-404005175;-0.0008614412613638251;1
Accepted-Wait;1-404005175;6296152.9929158185;2
Completed-Closed;1-404005175;36023889.00082445;3
Accepted-In Progress;1-404084309;-0.0008012505310383825;1
Accepted-Wait;1-404084309;9744994.993446367;2
Accepted-Wait;1-404084309;35512670.009973615;3
Completed-Closed;1-404084309;0.999971433539702;4
Accepted-In Progress;1-405112616;0.001293958263722041;1
Accepted-Assigned;1-405112616;267.0096758488945;2
Accepted-Assigned;1-405112616;37945852.999051124;3
Accepted-In Progress;1-405112616;9481453.99999227;4
Completed-Closed;1-405112616;9700781.0;5
Accepted-In Progress;1-406852699;-0.0010398765348435112;1
Accepted-In Progress;1-406852699;47872911.999556616;2
Completed-Closed;1-406852699;16.998812177983762;3
Accepted-In Progress;1-406875315;0.0006970569954406057;1
Queued-Awaiting Assignment;1-406875315;298.0;2
Accepted-In Progress;1-406875315;70733845.0;3
Accepted-Wait;1-406875315;1134785.0;4
Completed-Closed;1-406875315;186.0;5
Accepted-In Progress;1-407517548;0.00040006874745732824;1
Accepted-In Progress;1-407517548;31975746.000262983;2
Completed-Closed;1-407517548;7860417.999589679;3
Accepted-In Progress;1-407876996;-0.0002177131380408158;1
Queued-Awaiting Assignment;1-407876996;192.98877814605038;2
Accepted-In Progress;1-407876996;41028435.99974924;3
Completed-Closed;1-407876996;3.9988117570645647;4
Accepted-In Progress;1-408853759;0.00012509876959182318;1
Queued-Awaiting Assignment;1-408853759;122.9964769594757;2
Accepted-In Progress;1-408853759;2366.001179526351;3
Accepted-Assigned;1-408853759;4.983762540922649;4
Accepted-In Progress;1-408853759;41366603.9990062;5
Completed-Closed;1-408853759;194.9998917842371;6
Accepted-In Progress;1-409247778;-6.79699980489843e-05;1
