Activity;Case ID;Duration;Event_Nr
Accepted-Wait;1-360667704;7865905.004921367;2
Completed-Closed;1-360667704;56514875.00071218;3
Accepted-In Progress;1-361368011;0.00023881337897396754;1
Accepted-In Progress;1-361368011;63253764.999909334;2
Completed-Closed;1-361368011;147.99976426531768;3
Accepted-In Progress;1-363041157;-0.0023703556967595435;1
Completed-Closed;1-363041157;62668354.00049587;2
Accepted-In Progress;1-363549934;5.131515569364e-05;1
Queued-Awaiting Assignment;1-363549934;181.0150161577414;2
Accepted-In Progress;1-363549934;6562.0002997688225;3
Accepted-Assigned;1-363549934;3.9890335743938157;4
Accepted-In Progress;1-363549934;57098325.998258226;5
Completed-Closed;1-363549934;57.0001738119588;6
Accepted-In Progress;1-364458525;9.860355702644395e-05;1
Accepted-In Progress;1-364458525;62999898.000194825;2
Accepted-Wait;1-364458525;6.999769633338101;3
Completed-Closed;1-364458525;357.0000838695673;4
Accepted-In Progress;1-364528467;0.0023590811684632952;1
Queued-Awaiting Assignment;1-364528467;659.0;2
Accepted-In Progress;1-364528467;49827.0;3
Accepted-Assigned;1-364528467;1295966.0;4
Accepted-In Progress;1-364528467;4404394.0;5
Completed-Closed;1-364528467;253.0;6
Accepted-In Progress;1-365702595;0.000430773571178423;1
Queued-Awaiting Assignment;1-365702595;89.00333822261214;2
Accepted-In Progress;1-365702595;26683.999764264903;3
Accepted-Assigned;1-365702595;5.000227119550824;4
Accepted-In Progress;1-365702595;54483981.99958912;5
Completed-Closed;1-365702595;456536.00052590366;6
Accepted-In Progress;1-366462246;-0.0021502837092726027;1
Accepted-In Progress;1-366462246;63062745.99973646;2
Completed-Closed;1-366462246;26.001278336068303;3
Accepted-In Progress;1-366509892;0.000476363412453129;1
Queued-Awaiting Assignment;1-366509892;631.0074799824844;2
Accepted-In Progress;1-366509892;61722.99850294898;3
Accepted-Assigned;1-366509892;5.007570306000416;4
Accepted-In Progress;1-366509892;56756735.00056378;5
Completed-Closed;1-366509892;30.999728464184745;6
Accepted-In Progress;1-366584206;-0.0012019149266299667;1
Queued-Awaiting Assignment;1-366584206;360.0053975629371;2
Accepted-In Progress;1-366584206;18870.99926838277;3
Accepted-Assigned;1-366584206;6.011906853667116;4
Accepted-In Progress;1-366584206;54937602.00020989;5
Completed-Closed;1-366584206;1.9993646735078534;6
Accepted-In Progress;1-366923538;-0.0015462314859017775;1
Queued-Awaiting Assignment;1-366923538;1195.0039696616193;2
Accepted-In Progress;1-366923538;1.0000383790217446;3
Accepted-In Progress;1-366923538;0.0;4
Accepted-Assigned;1-366923538;10.0;5
Accepted-In Progress;1-366923538;0.0;6
Completed-Closed;1-366923538;9052738.0;7
Accepted-In Progress;1-367002597;-0.0006679737809647475;1
Accepted-In Progress;1-367002597;54868448.00000951;2
Accepted-In Progress;1-367002597;5307.00067965974;3
Completed-Closed;1-367002597;3174996.001438;4
Accepted-In Progress;1-367648732;-0.0019328046568682993;1
Queued-Awaiting Assignment;1-367648732;466.99774579807075;2
Accepted-In Progress;1-367648732;25087.000679314908;3
Accepted-Assigned;1-367648732;127.00178745671023;4
Accepted-In Progress;1-367648732;56458814.99898725;5
Completed-Closed;1-367648732;85.99917200810243;6
Accepted-In Progress;1-368929048;-0.00223291593045023;1
Queued-Awaiting Assignment;1-368929048;974.9993092278323;2
Accepted-In Progress;1-368929048;15097.000460760117;3
Accepted-Assigned;1-368929048;220.99499657271335;4
Accepted-In Progress;1-368929048;56032962.99963465;5
Completed-Closed;1-368929048;1795.9997239042991;6
Accepted-In Progress;1-369693874;-0.0013791610920599578;1
Queued-Awaiting Assignment;1-369693874;211.01296470155444;2
Accepted-In Progress;1-369693874;12221.000416472874;3
Accepted-Assigned;1-369693874;248.99892265234922;4
Accepted-In Progress;1-369693874;52107099.99985311;5
Completed-Closed;1-369693874;1360049.9999344342;6
Accepted-In Progress;1-369989135;-0.00020827642119334826;1
Queued-Awaiting Assignment;1-369989135;43.0;2
Accepted-In Progress;1-369989135;0.0;3
Accepted-In Progress;1-369989135;0.0;4
Accepted-Assigned;1-369989135;428.0;5
Accepted-In Progress;1-369989135;64643678.0;6
Completed-Closed;1-369989135;13.0;7
Accepted-In Progress;1-370436092;-0.0013324633500402306;1
Queued-Awaiting Assignment;1-370436092;35.997776234698414;2
Accepted-In Progress;1-370436092;450273.0002898795;3
Accepted-In Progress;1-370436092;16345123.000307994;4
Accepted-Assigned;1-370436092;45963230.99312615;5
Accepted-In Progress;1-370436092;89169.00071399513;6
Completed-Closed;1-370436092;14.998975772836312;7
Accepted-In Progress;1-371498622;0.0001809434221370253;1
Queued-Awaiting Assignment;1-371498622;452.99222560966354;2
Accepted-In Progress;1-371498622;100.99607113487436;3
Accepted-Assigned;1-371498622;168.01355710568765;4
Accepted-In Progress;1-371498622;53884975.999853246;5
Completed-Closed;1-371498622;29.99693501707509;6
Accepted-In Progress;1-371631962;-0.00017845805066812285;1
Completed-Closed;1-371631962;59205393.00038658;2
Accepted-In Progress;1-371672096;-0.002397158866510564;1
Queued-Awaiting Assignment;1-371672096;2431.0175521482756;2
Accepted-In Progress;1-371672096;6291.001887894953;3
Accepted-Assigned;1-371672096;5.003888218231738;4
Accepted-In Progress;1-371672096;55270072.000025086;5
Completed-Closed;1-371672096;808.9948259373281;6
Accepted-In Progress;1-372579132;-0.0025648284469427475;1
Queued-Awaiting Assignment;1-372579132;375.99441912822175;2
Accepted-In Progress;1-372579132;23323.999030196745;3
Accepted-Assigned;1-372579132;311.9934440058347;4
Accepted-In Progress;1-372579132;54699015.00015798;5
Completed-Closed;1-372579132;122684.00122453307;6
Accepted-In Progress;1-372858362;-0.00029797251404570154;1
Queued-Awaiting Assignment;1-372858362;96.000980445146;2
Accepted-In Progress;1-372858362;21896.00069079241;3
Accepted-Assigned;1-372858362;406.9922670202895;4
Accepted-In Progress;1-372858362;54391001.99974535;5
Completed-Closed;1-372858362;281.9980362446449;6
Accepted-In Progress;1-373110819;-0.0008625860739989057;1
Queued-Awaiting Assignment;1-373110819;167.00370663357822;2
Accepted-In Progress;1-373110819;28946.99994664311;3
Accepted-Assigned;1-373110819;114.99942362035742;4
Accepted-In Progress;1-373110819;54556926.99859982;5
Completed-Closed;1-373110819;94.99950581650415;6
Accepted-In Progress;1-373268674;0.0014845080930701658;1
Queued-Awaiting Assignment;1-373268674;548.9959747503566;2
Accepted-In Progress;1-373268674;45445.998720184194;3
Accepted-Assigned;1-373268674;423.0344641197771;4
Accepted-In Progress;1-373268674;54453648.999829784;5
Completed-Closed;1-373268674;74.00011684255753;6
Accepted-In Progress;1-373413519;0.0006196629649322255;1
Queued-Awaiting Assignment;1-373413519;139.01716203148177;2
Accepted-In Progress;1-373413519;18791.000747368635;3
Accepted-Assigned;1-373413519;6.005564526051097;4
Accepted-In Progress;1-373413519;54085216.99974481;5
Completed-Closed;1-373413519;47.00188524360106;6
Accepted-In Progress;1-373413971;0.0001585257286404723;1
Queued-Awaiting Assignment;1-373413971;400.01793171710744;2
Accepted-In Progress;1-373413971;11514.999250703993;3
Accepted-Assigned;1-373413971;4.00075899374826;4
Accepted-In Progress;1-373413971;54412270.99926626;5
Completed-Closed;1-373413971;89654.00008039271;6
Accepted-In Progress;1-374379174;-0.0005377098632276002;1
Queued-Awaiting Assignment;1-374379174;2319597.992015766;2
Accepted-In Progress;1-374379174;16325.00034258448;3
Accepted-Wait;1-374379174;15.006607678442373;4
Completed-Closed;1-374379174;1293294.0;5
Accepted-In Progress;1-374630866;0.0008373777668907646;1
Queued-Awaiting Assignment;1-374630866;2878.9923329950543;2
Accepted-In Progress;1-374630866;40421.00079005924;3
Accepted-Assigned;1-374630866;104.99429265654308;4
Accepted-In Progress;1-374630866;53852017.99910941;5
Completed-Closed;1-374630866;97.00081759198945;6
Accepted-In Progress;1-375337251;0.0002341486170977658;1
Queued-Awaiting Assignment;1-375337251;740.9932255481651;2
Accepted-In Progress;1-375337251;45974.99949284707;3
Accepted-Assigned;1-375337251;153.01230166528617;4
Accepted-In Progress;1-375337251;53500137.99976019;5
Completed-Closed;1-375337251;1846.9981791679331;6
Accepted-In Progress;1-375430388;0.0003286232665157543;1
Queued-Awaiting Assignment;1-375430388;173.0015245670953;2
Accepted-In Progress;1-375430388;35796.00130965236;3
Accepted-Assigned;1-375430388;162.01504945993003;4
Accepted-In Progress;1-375430388;53537054.99947086;5
Completed-Closed;1-375430388;74.00148965870015;6
Accepted-In Progress;1-375646314;-0.0007223985451425991;1
Queued-Awaiting Assignment;1-375646314;253.00608494289324;2
Accepted-In Progress;1-375646314;1413.000798062253;3
Accepted-Assigned;1-375646314;4.994509403370498;4
Accepted-In Progress;1-375646314;53549299.99847317;5
Completed-Closed;1-375646314;147.9996410396537;6
Accepted-In Progress;1-375670011;0.00046790552092000674;1
Completed-Closed;1-375670011;51927252.00151181;2
Queued-Awaiting Assignment;1-376424233;0.0;1
Accepted-In Progress;1-376424233;29989167.0;2
Completed-Closed;1-376424233;33.0;3
Accepted-In Progress;1-377276064;-0.0021996558520647083;1
Queued-Awaiting Assignment;1-377276064;457.9998541103277;2
Accepted-In Progress;1-377276064;11256.998725409198;3
Accepted-Assigned;1-377276064;5.006597882650598;4
Accepted-In Progress;1-377276064;52521755.99976273;5
Completed-Closed;1-377276064;92.99744094198437;6
Accepted-In Progress;1-377458451;-0.00018089371804396346;1
Queued-Awaiting Assignment;1-377458451;138.0040568907106;2
Accepted-In Progress;1-377458451;1127.9996811407573;3
Accepted-Assigned;1-377458451;6.001929136787833;4
Accepted-In Progress;1-377458451;52854180.00011114;5
Completed-Closed;1-377458451;109.99987731202853;6
Accepted-In Progress;1-378054711;0.00047802108512531947;1
Queued-Awaiting Assignment;1-378054711;112.01529501142433;2
Accepted-In Progress;1-378054711;506.9992659692074;3
Accepted-Assigned;1-378054711;6.016605853481664;4
Accepted-In Progress;1-378054711;52252942.00137468;5
Completed-Closed;1-378054711;71.00114913083051;6
Accepted-In Progress;1-379209685;-0.0008786932738232326;1
Accepted-In Progress;1-379209685;55460313.99820601;2
Completed-Closed;1-379209685;192.99796541917334;3
Accepted-In Progress;1-379702919;-0.0015488666962258397;1
Queued-Awaiting Assignment;1-379702919;186.00372065287783;2
Accepted-In Progress;1-379702919;11558061.003242148;3
Accepted-Assigned;1-379702919;44935490.00492654;4
Accepted-Wait;1-379702919;837121.0;5
Completed-Closed;1-379702919;33103667.0;6
Accepted-In Progress;1-379789104;0.0033774819183615408;1
Accepted-Wait;1-379789104;21.01301765916535;2
Accepted-In Progress;1-379789104;24938.999901851203;3
Accepted-In Progress;1-379789104;0.0;4
Completed-Closed;1-379789104;262168.0;5
Accepted-In Progress;1-380297615;-0.0001545319521635845;1
Accepted-Assigned;1-380297615;3011616.0001031784;2
Accepted-In Progress;1-380297615;35417179.999723814;3
Accepted-Wait;1-380297615;21114332.999709412;4
Completed-Closed;1-380297615;348.9998044339256;5
Accepted-In Progress;1-380392616;-0.0011557344081501231;1
Queued-Awaiting Assignment;1-380392616;499.0019388609419;2
Accepted-In Progress;1-380392616;247.9996007002267;3
Accepted-Assigned;1-380392616;6.0102004290807285;4
Queued-Awaiting Assignment;1-380392616;7359.0;5
Accepted-Assigned;1-380392616;6.0;6
Accepted-Wait;1-380392616;1109721.0;7
Queued-Awaiting Assignment;1-380392616;511.0;8
Accepted-In Progress;1-380392616;0.0;9
Accepted-Assigned;1-380392616;203.0;10
Accepted-In Progress;1-380392616;647.0;11
Completed-Closed;1-380392616;160.0;12
Accepted-In Progress;1-380632889;-0.0019016579230315693;1
Queued-Awaiting Assignment;1-380632889;5256893.982178408;2
Accepted-In Progress;1-380632889;104071.99952786302;3
Accepted-Wait;1-380632889;10170764.003041744;4
Accepted-Assigned;1-380632889;16941038.99831306;5
Accepted-In Progress;1-380632889;0.0;6
Completed-Closed;1-380632889;30503775.0;7
Accepted-In Progress;1-380654568;0.0009809126219800283;1
Queued-Awaiting Assignment;1-380654568;206.99590140399508;2
Accepted-In Progress;1-380654568;649.9996157128958;3
Accepted-Assigned;1-380654568;5.003442811310943;4
Accepted-In Progress;1-380654568;48541194.99840935;5
Completed-Closed;1-380654568;2683318.0001222417;6
Accepted-In Progress;1-381124870;6.913052171784138e-05;1
Accepted-Assigned;1-381124870;155.00472580699264;2
Accepted-In Progress;1-381124870;872274.0001191455;3
Accepted-Wait;1-381124870;5619988.002113525;4
Completed-Closed;1-381124870;44088793.99945228;5
Accepted-In Progress;1-382209384;0.000790387266741485;1
Accepted-In Progress;1-382209384;37733580.00056089;2
Accepted-Assigned;1-382209384;6250998.9994497495;3
Accepted-In Progress;1-382209384;9915556.000013165;4
Completed-Closed;1-382209384;80.00017200358876;5
Accepted-In Progress;1-382442048;0.0001604966894054894;1
Queued-Awaiting Assignment;1-382442048;222.99963557050881;2
Accepted-In Progress;1-382442048;5615.99939553804;3
Accepted-Wait;1-382442048;65.00275668991824;4
Accepted-Assigned;1-382442048;96.99681958240322;5
Accepted-In Progress;1-382442048;50961998.000220135;6
Completed-Closed;1-382442048;125.00040562908175;7
Accepted-In Progress;1-383789251;-0.0001833839429488438;1
Completed-Closed;1-383789251;48136231.00017791;2
Accepted-In Progress;1-385278464;0.0016702155359366042;1
Completed-Closed;1-385278464;50183333.99698989;2
Accepted-In Progress;1-385311756;-0.000647450002390988;1
Queued-Awaiting Assignment;1-385311756;339.97959414456074;2
Accepted-In Progress;1-385311756;4650.999289277394;3
Accepted-Assigned;1-385311756;5.012654920796581;4
Accepted-In Progress;1-385311756;49757523.99984427;5
Completed-Closed;1-385311756;112.00092962296618;6
Accepted-In Progress;1-386495623;-0.003208063883058872;1
Accepted-Wait;1-386495623;256.99852763711317;2
Completed-Closed;1-386495623;53069913.99936026;3
Accepted-In Progress;1-388028918;-0.0005846144476663631;1
Queued-Awaiting Assignment;1-388028918;322.0087346336234;2
Accepted-In Progress;1-388028918;53388.0001511004;3
Accepted-Assigned;1-388028918;155.00443428629288;4
Queued-Awaiting Assignment;1-388028918;22428427.004091877;5
Accepted-Assigned;1-388028918;17.000385923179852;6
Accepted-Wait;1-388028918;593789.998219025;7
Queued-Awaiting Assignment;1-388028918;2500490.994229372;8
Accepted-In Progress;1-388028918;3322.999855014504;9
Accepted-Assigned;1-388028918;5.998022011973666;10
Accepted-In Progress;1-388028918;22212701.00015098;11
Completed-Closed;1-388028918;3949.998793744778;12
Accepted-In Progress;1-388644366;0.0037236110947555827;1
Queued-Awaiting Assignment;1-388644366;241.00790848684093;2
Accepted-In Progress;1-388644366;17545.999784349362;3
Accepted-Assigned;1-388644366;9.000389492921967;4
Accepted-In Progress;1-388644366;47437497.00017287;5
Completed-Closed;1-388644366;32.999893517829314;6
Accepted-In Progress;1-388724672;-0.0016560945800955969;1
Queued-Awaiting Assignment;1-388724672;955.0058167052836;2
Accepted-In Progress;1-388724672;2904.0003459713807;3
Accepted-Assigned;1-388724672;7.00295032711224;4
Accepted-In Progress;1-388724672;47432062.999508195;5
Completed-Closed;1-388724672;1894.000631110843;6
Accepted-In Progress;1-390722958;0.0011653507582044674;1
Accepted-Assigned;1-390722958;45201814.997329965;2
Accepted-In Progress;1-390722958;5785792.000052544;3
Completed-Closed;1-390722958;57.00100584205466;4
Accepted-In Progress;1-390819078;-0.00038310668738601625;1
Queued-Awaiting Assignment;1-390819078;477.0016798738505;2
Accepted-In Progress;1-390819078;1177.00008874691;3
Accepted-Assigned;1-390819078;6.99172767340166;4
Queued-Awaiting Assignment;1-390819078;21084100.00076985;5
Accepted-Assigned;1-390819078;18.990920769836148;6
Accepted-Wait;1-390819078;594381.0103457728;7
Queued-Awaiting Assignment;1-390819078;782337.0110919287;8
Accepted-In Progress;1-390819078;12455.999521277181;9
Accepted-Assigned;1-390819078;6.997662025742314;10
Accepted-In Progress;1-390819078;23989947.00043126;11
Completed-Closed;1-390819078;18.999377217250796;12
Accepted-In Progress;1-392590655;-0.0010198383627209224;1
Completed-Closed;1-392590655;45276551.99474252;2
Accepted-In Progress;1-392812598;9.767779140201938e-05;1
Queued-Awaiting Assignment;1-392812598;204.9996746845413;2
Accepted-In Progress;1-392812598;117276.99937699754;3
Accepted-Assigned;1-392812598;9.001195665439461;4
Accepted-In Progress;1-392812598;43372580.998878345;5
Completed-Closed;1-392812598;31.00012256400935;6
Accepted-In Progress;1-393413330;0.0013332473255874028;1
Queued-Awaiting Assignment;1-393413330;193.99787436051386;2
Accepted-In Progress;1-393413330;1111.9998958048868;3
Accepted-Assigned;1-393413330;6.016212160077833;4
Accepted-In Progress;1-393413330;46029055.001789704;5
Completed-Closed;1-393413330;68.99878262865083;6
Accepted-In Progress;1-396569277;-0.001541695912196573;1
Queued-Awaiting Assignment;1-396569277;92.98378063495267;2
Accepted-In Progress;1-396569277;464.00066833557815;3
Accepted-Assigned;1-396569277;9.004001930185233;4
Accepted-In Progress;1-396569277;45169315.99912934;5
Completed-Closed;1-396569277;5968665.9992765235;6
Accepted-In Progress;1-397446945;0.004128099335020046;1
Queued-Awaiting Assignment;1-397446945;274.0503932993454;2
Accepted-In Progress;1-397446945;4050.0004881876193;3
Accepted-Assigned;1-397446945;7.995762986472486;4
Accepted-In Progress;1-397446945;44652676.999846295;5
Completed-Closed;1-397446945;84.99845194695278;6
Accepted-In Progress;1-397806545;0.002156227567431693;1
Accepted-Wait;1-397806545;17646772.0;2
Accepted-In Progress;1-397806545;0.0;3
Accepted-In Progress;1-397806545;0.0;4
Completed-Closed;1-397806545;65.0;5
Queued-Awaiting Assignment;1-399013423;0.00035125589654135973;1
Accepted-In Progress;1-399013423;43811823.99948581;2
Completed-Closed;1-399013423;56.001958911799164;3
Accepted-In Progress;1-400351079;-0.0033705071677403776;1
Accepted-In Progress;1-400351079;618445.9996855336;2
Completed-Closed;1-400351079;45072264.003669515;3
Accepted-In Progress;1-400528782;-0.00025950308418175934;1
Completed-Closed;1-400528782;36796285.00027155;2
Accepted-In Progress;1-400528782;2373.0011039003502;3
Queued-Awaiting Assignment;1-400528782;678.0;4
Accepted-In Progress;1-400528782;49827.0;5
Completed-Closed;1-400528782;151.0;6
Accepted-In Progress;1-402212071;-0.0010826153187399284;1
Accepted-Wait;1-402212071;8989040.999126343;2
Completed-Closed;1-402212071;33103667.0007156;3
Accepted-In Progress;1-402328919;-0.0002916155381111174;1
Completed-Closed;1-402328919;53632349.997287825;2
Accepted-In Progress;1-403006315;-0.0003068312460377367;1
Queued-Awaiting Assignment;1-403006315;554.0148667009812;2
Accepted-In Progress;1-403006315;1117.9989692436568;3
Accepted-Assigned;1-403006315;5.991751689666963;4
Queued-Awaiting Assignment;1-403006315;68.0;5
Accepted-Assigned;1-403006315;0.0;6
Accepted-Wait;1-403006315;85382286.0;7
Queued-Awaiting Assignment;1-403006315;58776.0;8
Accepted-In Progress;1-403006315;9657577.0;9
Accepted-Assigned;1-403006315;31.0;10
Accepted-In Progress;1-403006315;31742310.0;11
Completed-Closed;1-403006315;26331749.0;12
Accepted-In Progress;1-404005175;-0.0004682113786115566;1
Accepted-Wait;1-404005175;6296153.001008373;2
Completed-Closed;1-404005175;36023889.00018857;3
Accepted-In Progress;1-404084309;0.0014311356947761902;1
Accepted-In Progress;1-404084309;165716.0;2
Accepted-Wait;1-404084309;1039387.0;3
Completed-Closed;1-404084309;15.0;4
Accepted-In Progress;1-405112616;-0.0001217370564931677;1
Accepted-Assigned;1-405112616;267.01116966991106;2
Accepted-Assigned;1-405112616;37945853.00179514;3
Accepted-In Progress;1-405112616;9481453.999546772;4
Completed-Closed;1-405112616;3026132.0;5
Accepted-In Progress;1-406852699;0.0005649973701778131;1
Accepted-In Progress;1-406852699;47872911.99923335;2
Completed-Closed;1-406852699;17.00147553144913;3
Accepted-In Progress;1-406875315;-0.0001508498997229961;1
Queued-Awaiting Assignment;1-406875315;70.0;2
Accepted-In Progress;1-406875315;0.0;3
Accepted-Wait;1-406875315;1478407.0;4
Completed-Closed;1-406875315;2343678.0;5
Accepted-In Progress;1-407517548;0.00040768142521090166;1
Accepted-In Progress;1-407517548;31975745.999725003;2
Completed-Closed;1-407517548;7860417.998088278;3
Accepted-In Progress;1-407876996;-0.00025057812663050247;1
Queued-Awaiting Assignment;1-407876996;193.0061172665885;2
Accepted-In Progress;1-407876996;41028435.998691514;3
Completed-Closed;1-407876996;4.004415644764342;4
Accepted-In Progress;1-408853759;-0.0023966801606948125;1
Queued-Awaiting Assignment;1-408853759;122.98088016648776;2
Accepted-In Progress;1-408853759;2366.0007576670528;3
Accepted-Assigned;1-408853759;5.019792893795452;4
Accepted-In Progress;1-408853759;41366604.00014366;5
Completed-Closed;1-408853759;194.99940864133438;6
Accepted-In Progress;1-409247778;0.0005144500667332728;1
Queued-Awaiting Assignment;1-409247778;189.98991193056955;2
